STK,EXP,NIFTY,SYMBOL,OI,CHNGOI,OICHNGPER,TTV,IV,LTP,CHNG,PCHNG,TBQ,TSQ,BQ,BP,AQ,AP,SPOT
13350,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE13350.00,7004,5015,252.13675213675214,189277,29.27,124.6,2.1499999999999915,1.7558187015108135,160125,136200,750,124.6,375,125.4,13392.95
13350,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE13350.00,5893,1990,50.98642070202408,114301,26.72,79.3,-64.75000000000001,-44.94967025338425,141675,131325,225,79.05,600,79.45,13392.95
13400,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE13400.00,29501,17647,148.8695798886452,593407,28.3,94.9,-3.299999999999997,-3.3604887983706693,358275,358125,150,94.6,525,94.9,13392.95
13400,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE13400.00,19509,3634,22.891338582677164,270219,25.62,98.8,-73.8,-42.757821552723065,195075,155775,225,98.3,150,98.8,13392.95
13450,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE13450.00,7821,4463,132.9064919594997,201549,27.58,69.35,-6.75,-8.869908015768727,171600,155550,75,69.1,225,69.45,13392.95
13450,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE13450.00,3604,-220,-5.753138075313808,28629,25.24,123.65,-78.15,-38.72646184340932,88050,53550,75,123.65,75,124.35,13392.95
13500,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE13500.00,45310,18387,68.29476655647589,758169,26.82,48.6,-10.15,-17.276595744680847,476700,557400,300,48.4,225,48.6,13392.95
13500,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE13500.00,10733,-6223,-36.70087284736966,71952,23.6,151.75,-78.15,-33.9930404523706,130350,89025,75,151.7,150,152.45,13392.95
13550,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE13550.00,11524,6703,139.03754407799212,224021,26.38,32.9,-12.300000000000004,-27.212389380530983,199650,189300,300,32.65,450,32.85,13392.95
13550,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE13550.00,2622,-489,-15.718418514946963,5564,21.34,186.2,-82.90000000000003,-30.806391675956906,57075,30825,450,185.55,150,187.15,13392.95
13600,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE13600.00,43341,12112,38.784463159243,541343,26.4,21.8,-13.95,-39.02097902097902,416325,620400,1050,21.75,1350,21.9,13392.95
13600,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE13600.00,7831,-3798,-32.65972998538137,27699,22.89,224.7,-74.40000000000003,-24.87462387161485,92850,53700,75,224.65,75,226.05,13392.95
13650,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE13650.00,15245,2975,24.246128769356154,141066,26.71,14.5,-13.95,-49.03339191564148,363300,270750,225,14.6,1275,14.65,13392.95
13650,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE13650.00,2628,-575,-17.951920074929756,4547,20.97,267.15,-87.35000000000002,-24.640338504936533,45750,26250,450,266.7,75,268.95,13392.95
13700,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE13700.00,51842,8014,18.28511453865109,391081,27.44,10.6,-11.8,-52.67857142857143,688875,784200,11700,10.5,2850,10.6,13392.95
13700,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE13700.00,7196,-3590,-33.283886519562394,16063,20.18,315.2,-77.55000000000003,-19.74538510502865,70875,51075,75,314.6,150,316.0,13392.95
13750,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE13750.00,25728,-2519,-8.917761178178212,126862,28.57,8.1,-10.250000000000002,-55.858310626702995,554025,430800,1950,8.05,75,8.15,13392.95
13750,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE13750.00,2590,-595,-18.68131868131868,2174,28.86,360.65,-84.70000000000005,-19.01874929830471,43200,28050,75,359.55,225,362.5,13392.95
13800,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE13800.00,58180,8449,16.98940298807585,269043,29.57,6.55,-8.350000000000001,-56.040268456375856,680100,650475,4650,6.45,1650,6.55,13392.95
13800,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE13800.00,2022,-592,-22.647283856159138,2771,0.0,407.05,-83.64999999999998,-17.047075606276742,44100,39450,150,408.25,75,410.9,13392.95
13850,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE13850.00,12324,168,1.3820335636722607,51693,30.84,5.35,-7.300000000000002,-57.70750988142292,346650,209700,1275,5.3,1725,5.4,13392.95
13850,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE13850.00,514,-54,-9.507042253521126,343,0.0,455.0,-98.89999999999998,-17.85520852139375,32775,24075,900,457.2,75,460.85,13392.95
